施設名,施設分類_大分類,施設分類_小分類,所管部課,所在地,地区,延べ床面積合計_m2,建築面積合計_m2,建築年度_最古棟,老朽化度,支出6年平均_円,減価償却費_円,利用者数_人,市民1人当たりコスト_円,利用者1人当たりコスト_円,出典PDF,出典ページ
図書館,生涯学習施設,図書館,,,蒲郡北,2006.0,,1969,3.3,125343000,,307677,,,hakusho_r2kaitei.pdf,p.41
クリーンセンター,衛生施設,ごみ処理施設等,,,西浦,7139.0,,1997,3.0,726267000,,,,,hakusho_r2kaitei.pdf,p.77
リサイクルプラザ,衛生施設,ごみ処理施設等,,,西浦,3265.0,,1999,2.6,290442000,,,,,hakusho_r2kaitei.pdf,p.77
一色不燃物最終処分場,衛生施設,ごみ処理施設等,,,形原,266.0,,1982,4.1,37294000,,,,,hakusho_r2kaitei.pdf,p.77
一般廃棄物最終処分場,衛生施設,ごみ処理施設等,,,大塚,918.0,,2000,2.7,31452000,,,,,hakusho_r2kaitei.pdf,p.77
海賓館マリンセンターハウス,観光施設,観光施設,,,蒲郡南,278.0,,1996,2.8,3652000,,18052,,,hakusho_r2kaitei.pdf,p.84
竹島水族館,観光施設,観光施設,,,蒲郡南,1996.0,,1962,3.8,73001000,,365563,,,hakusho_r2kaitei.pdf,p.84
海辺の文学記念館,観光施設,観光施設,,,蒲郡南,347.0,,1983,3.1,5471000,,16269,,,hakusho_r2kaitei.pdf,p.84
ナビテラス,観光施設,観光施設,,,蒲郡南,429.0,,2012,1.1,6160000,,35497,,,hakusho_r2kaitei.pdf,p.84
西浦温泉レストハウス,観光施設,観光施設,,,西浦,140.0,,1966,3.6,249000,,,,,hakusho_r2kaitei.pdf,p.84
竹島レストハウス,観光施設,観光施設,,,蒲郡南,128.0,,1967,3.6,120000,,,,,hakusho_r2kaitei.pdf,p.84
グラウンド,運動・公園施設,スポーツ施設等,,,西浦,2046.0,,1972,2.7,,,,,,hakusho_r2kaitei.pdf,p.43
競技場,運動・公園施設,スポーツ施設等,,,,5264.0,,1967,4.2,,,,,,hakusho_r2kaitei.pdf,p.43
武道館,運動・公園施設,スポーツ施設等,,,,5049.0,,1980,3.6,,,,,,hakusho_r2kaitei.pdf,p.43
文化広場,運動・公園施設,スポーツ施設等,,,形原,1857.0,,1983,3.3,12724000,,27327,,,hakusho_r2kaitei.pdf,p.43
浜町テニスコート,運動・公園施設,スポーツ施設等,,,塩津,89.0,,1989,2.7,2524000,,11761,,,hakusho_r2kaitei.pdf,p.43
金平テニスコート,運動・公園施設,スポーツ施設等,,,形原,242.0,,1987,3.5,9143000,,16657,,,hakusho_r2kaitei.pdf,p.43
さがらの森,運動・公園施設,スポーツ施設等,,,大塚,500.0,,1974,3.0,2322000,,4507,,,hakusho_r2kaitei.pdf,p.43
中央公園,運動・公園施設,公園,,,蒲郡北,148.0,,1980,3.0,18720000,,,,,hakusho_r2kaitei.pdf,p.47
双太山公園,運動・公園施設,公園,,,形原,220.0,,1989,2.5,6663000,,,,,hakusho_r2kaitei.pdf,p.47
春日浦公園,運動・公園施設,公園,,,形原,78.0,,1998,2.2,3808000,,,,,hakusho_r2kaitei.pdf,p.47
